,title,artist
0,all too well (taylor's version),taylor swift
1,easy on me,adele
2,stay,the kid laroi & justin bieber
3,industry baby,lil nas x & jack harlow
4,smokin out the window,silk sonic (bruno mars & anderson .paak)
5,bad habits,ed sheeran
6,shivers,ed sheeran
7,heat waves,glass animals
8,need to know,doja cat
9,fancy like,walker hayes
10,cold heart (pnau remix),elton john & dua lipa
11,way 2 sexy,drake featuring future & young thug
12,good 4 u,olivia rodrigo
13,you right,doja cat & the weeknd
14,essence,wizkid featuring justin bieber & tems
15,beggin',maneskin
16,levitating,dua lipa
17,state of grace (taylor's version),taylor swift
18,one right now,post malone & the weeknd
19,already dead,juice wrld
20,kiss me more,doja cat featuring sza
21,i bet you think about me (taylor's version) (from the vault),taylor swift featuring chris stapleton
22,leave the door open,silk sonic (bruno mars & anderson .paak)
23,if i didn't love you,jason aldean & carrie underwood
24,red (taylor's version),taylor swift
25,save your tears,the weeknd & ariana grande
26,knife talk,drake featuring 21 savage & project pat
27,meet me at our spot,the anxiety: willow & tyler cole
28,better days,neiked x mae muller x polo g
29,thinking 'bout you,dustin lynch featuring lauren alaina or mackenzie porter
30,girls want girls,drake featuring lil baby
31,cold as you,luke combs
32,ghost,justin bieber
33,love nwantiti (ah ah ah),ckay
34,chasing after you,ryan hurd with maren morris
35,all i want for christmas is you,mariah carey
36,my universe,coldplay x bts
37,buy dirt,jordan davis featuring luke bryan
38,thats what i want,lil nas x
39,happier than ever,billie eilish
40,pepas,farruko
41,you should probably leave,chris stapleton
42,nothing new (taylor's version) (from the vault),taylor swift featuring phoebe bridgers
43,who want smoke??,"nardo wick featuring g herbo, lil durk & 21 savage"
44,message in a bottle (taylor's version) (from the vault),taylor swift
45,i knew you were trouble (taylor's version),taylor swift
46,run (taylor's version) (from the vault),taylor swift featuring ed sheeran
47,montero (call me by your name),lil nas x
48,bad man (smooth criminal),polo g
49,same boat,zac brown band
50,better man (taylor's version) (from the vault),taylor swift
51,22 (taylor's version),taylor swift
52,doin' this,luke combs
53,treacherous (taylor's version),taylor swift
54,we are never ever getting back together (taylor's version),taylor swift
55,no love,summer walker & sza
56,wild side,normani featuring cardi b
57,have mercy,chloe
58,i almost do (taylor's version),taylor swift
59,chosen,blxst & tyga featuring ty dolla $ign
60,the very first night (taylor's version) (from the vault),taylor swift
61,family ties,baby keem & kendrick lamar
62,everything has changed (taylor's version),taylor swift featuring ed sheeran
63,sand in my boots,morgan wallen
64,gyalis,capella grey
65,the last time (taylor's version),taylor swift featuring gary lightbody of snow patrol
66,stay stay stay (taylor's version),taylor swift
67,after last night,silk sonic (bruno mars & anderson .paak) with thundercat & bootsy collins
68,babe (taylor's version) (from the vault),taylor swift
69,sharing locations,meek mill featuring lil baby & lil durk
70,escape plan,travis scott
71,one mississippi,kane brown
72,blast off,silk sonic (bruno mars & anderson .paak)
73,knowing you,kenny chesney
74,skate,silk sonic (bruno mars & anderson .paak)
75,holy ground (taylor's version),taylor swift
76,begin again (taylor's version),taylor swift
77,put on a smile,silk sonic (bruno mars & anderson .paak)
78,forever winter (taylor's version) (from the vault),taylor swift
79,whiskey and rain,michael ray
80,fly as me,silk sonic (bruno mars & anderson .paak)
81,super gremlin,kodak black
82,the moment i knew (taylor's version),taylor swift
83,the lucky one (taylor's version),taylor swift
84,sad beautiful tragic (taylor's version),taylor swift
85,fair trade,drake featuring travis scott
86,come back...be here (taylor's version),taylor swift
87,sad girlz luv money,amaarae & moliy featuring kali uchis
88,tequila little time,jon pardi
89,starlight (taylor's version),taylor swift
90,bubbly,young thug with drake & travis scott
91,ex for a reason,summer walker & jt
92,freedom was a highway,jimmie allen & brad paisley
93,la fama,rosalia featuring the weeknd
94,big energy,latto
95,moth to a flame,swedish house mafia & the weeknd
96,'til you can't,cody johnson
97,woman,doja cat
98,take my breath,the weeknd
99,for tonight,giveon
